,full_address,url,lat,long
127,"1485 GREEN FOREST TRL Forsyth County, GA","https://www.google.com/maps/search/1485%20GREEN%20FOREST%20TRL%20Forsyth%20County,%20GA",34.187685,-84.109459
128,"1985 MANOR POINTE DR Forsyth County, GA","https://www.google.com/maps/search/1985%20MANOR%20POINTE%20DR%20Forsyth%20County,%20GA",34.186815,-84.10732
129,"1985 MANOR POINTE DR Forsyth County, GA","https://www.google.com/maps/search/1985%20MANOR%20POINTE%20DR%20Forsyth%20County,%20GA",34.186815,-84.10732
130,"5495 MANOR PARK DR Forsyth County, GA","https://www.google.com/maps/search/5495%20MANOR%20PARK%20DR%20Forsyth%20County,%20GA",34.3052174,-84.0770868
131,"3755 TAMIAMI TRL Forsyth County, GA","https://www.google.com/maps/search/3755%20TAMIAMI%20TRL%20Forsyth%20County,%20GA",34.2140848,-84.0750027
132,"5555 ADIRONDACK DR Forsyth County, GA","https://www.google.com/maps/search/5555%20ADIRONDACK%20DR%20Forsyth%20County,%20GA",34.2153319,-84.208539
133,"9360 ANN HARBOR DR Forsyth County, GA","https://www.google.com/maps/search/9360%20ANN%20HARBOR%20DR%20Forsyth%20County,%20GA",34.2585286,-83.9608739
134,"1514 GATHERING PL Forsyth County, GA","https://www.google.com/maps/search/1514%20GATHERING%20PL%20Forsyth%20County,%20GA",34.2283095,-84.1120204
135,"5235 LORING ST Forsyth County, GA","https://www.google.com/maps/search/5235%20LORING%20ST%20Forsyth%20County,%20GA",34.2192544,-84.2117279
136,"1520 VICTORIA CHSE Forsyth County, GA","https://www.google.com/maps/search/1520%20VICTORIA%20CHSE%20Forsyth%20County,%20GA",34.1654988,-84.1247335
137,"7980 TIBERON PKWY Forsyth County, GA","https://www.google.com/maps/search/7980%20TIBERON%20PKWY%20Forsyth%20County,%20GA",34.3095129,-84.1999578
138,"215 WOODCLIFF CT Forsyth County, GA","https://www.google.com/maps/search/215%20WOODCLIFF%20CT%20Forsyth%20County,%20GA",34.1147806,-84.1044625
139,"4320 GOLDEN KNOLL RD Forsyth County, GA","https://www.google.com/maps/search/4320%20GOLDEN%20KNOLL%20RD%20Forsyth%20County,%20GA",34.278255,-84.19041
140,"3865 HOMESTEAD RIDGE DR Forsyth County, GA","https://www.google.com/maps/search/3865%20HOMESTEAD%20RIDGE%20DR%20Forsyth%20County,%20GA",34.1137198,-84.1466293
141,"5530 ADIRONDACK DR Forsyth County, GA","https://www.google.com/maps/search/5530%20ADIRONDACK%20DR%20Forsyth%20County,%20GA",34.2159059,-84.208048
142,"5160 LORING ST Forsyth County, GA","https://www.google.com/maps/search/5160%20LORING%20ST%20Forsyth%20County,%20GA",34.2196708,-84.2106902
143,"4315 DARIAN CT Forsyth County, GA","https://www.google.com/maps/search/4315%20DARIAN%20CT%20Forsyth%20County,%20GA",34.1264428,-84.1349623
144,"2415 MAYFAIR DR Forsyth County, GA","https://www.google.com/maps/search/2415%20MAYFAIR%20DR%20Forsyth%20County,%20GA",34.2355411,-84.1031631
145,"9370 CAIN CIR Forsyth County, GA","https://www.google.com/maps/search/9370%20CAIN%20CIR%20Forsyth%20County,%20GA",34.2449122,-83.981598
146,"5190 LORING ST Forsyth County, GA","https://www.google.com/maps/search/5190%20LORING%20ST%20Forsyth%20County,%20GA",34.2196701,-84.2107139
147,"4625 WATSON FARMS LN Forsyth County, GA","https://www.google.com/maps/search/4625%20WATSON%20FARMS%20LN%20Forsyth%20County,%20GA",34.25403,-84.231326
148,"7430 CAVALETTI CIR Forsyth County, GA","https://www.google.com/maps/search/7430%20CAVALETTI%20CIR%20Forsyth%20County,%20GA",34.1686893,-84.2258419
149,"5545 ADIRONDACK DR Forsyth County, GA","https://www.google.com/maps/search/5545%20ADIRONDACK%20DR%20Forsyth%20County,%20GA",34.215343,-84.208293
150,"3370 CARMICHAEL DR Forsyth County, GA","https://www.google.com/maps/search/3370%20CARMICHAEL%20DR%20Forsyth%20County,%20GA",34.252505,-84.195579
151,"5990 BENNETT PKWY Forsyth County, GA","https://www.google.com/maps/search/5990%20BENNETT%20PKWY%20Forsyth%20County,%20GA",34.1690841,-84.1776579
152,"9025 SUNBURY PL Forsyth County, GA","https://www.google.com/maps/search/9025%20SUNBURY%20PL%20Forsyth%20County,%20GA",34.138605,-84.1643278
153,"3175 STOCK SADDLE PL Forsyth County, GA","https://www.google.com/maps/search/3175%20STOCK%20SADDLE%20PL%20Forsyth%20County,%20GA",34.2996163,-84.2420026
154,"3735 ANDOVER ST Forsyth County, GA","https://www.google.com/maps/search/3735%20ANDOVER%20ST%20Forsyth%20County,%20GA",34.2730708,-84.1849224
155,"3211 ORWELL WAY 4301 Forsyth County, GA","https://www.google.com/maps/search/3211%20ORWELL%20WAY%204301%20Forsyth%20County,%20GA",34.1566198,-84.1679
156,"4065 WHISPERING PINES CT Forsyth County, GA","https://www.google.com/maps/search/4065%20WHISPERING%20PINES%20CT%20Forsyth%20County,%20GA",34.0845634,-84.1724042
157,"7465 OLIVIA VIEW CT Forsyth County, GA","https://www.google.com/maps/search/7465%20OLIVIA%20VIEW%20CT%20Forsyth%20County,%20GA",34.2759029,-84.2296291
